Accession/Planting,Most Recent Inventory Date,Status,Inventory Note,Most Recent Measurement Date,Height,Height Unit,Measurement Note,Inventory Latitude,Inventory Longitude
2012-0312-01-1,2/26/2020 13:36,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:36,17.6,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4587365,-111.9436192
2012-0312-01-10,2/26/2020 13:37,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:37,2.3,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4585492,-111.9445113
2012-0312-01-11,2/26/2020 13:36,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:36,18.5,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4588886,-111.9442669
2012-0312-01-12,2/26/2020 13:36,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:36,21.4,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.458957,-111.9442669
2012-0312-01-13,2/26/2020 13:36,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:36,18.3,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4590354,-111.9443073
2012-0312-01-14,2/26/2020 13:36,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:36,16.6,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4590399,-111.9443625
2012-0312-01-15,2/26/2020 13:36,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:36,29.4,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4590702,-111.9442989
2012-0312-01-16,2/26/2020 13:36,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:36,20.2,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4590183,-111.944414
2012-0312-01-17,2/26/2020 13:37,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:37,21.7,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4589313,-111.9444658
2012-0312-01-18,2/26/2020 13:37,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:37,12.3,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4590951,-111.9445317
